candidate,train_score,trades,cagr,max_dd,w_technical,w_fundamental,w_momentum,w_quality,w_earnings_drift
69,0.99,118,16.78,-11.79,0.295,0.007,0.577,0.089,0.032
16,0.685,97,11.14,-6.85,0.658,0.145,0.067,0.071,0.059
55,0.558,100,10.05,-6.86,0.705,0.131,0.018,0.026,0.119
14,-0.005,32,6.26,-3.67,0.137,0.332,0.447,0.073,0.011
0,-0.075,42,5.86,-10.85,0.321,0.312,0.318,0.037,0.012
52,-0.515,26,4.19,-4.89,0.094,0.022,0.595,0.058,0.231
1,-0.524,25,4.49,-3.94,0.204,0.198,0.439,0.011,0.147
79,-0.694,42,2.96,-6.04,0.644,0.076,0.016,0.078,0.185
77,-0.874,27,3.56,-5.07,0.051,0.172,0.556,0.03,0.189
73,-0.943,26,2.73,-6.58,0.029,0.202,0.555,0.11,0.105
