candidate,train_score,trades,cagr,sharpe,max_dd,mono,q5_q1,w_technical,w_fundamental,w_momentum,w_quality,w_earnings_drift
6,2.894,584,20.91,1.094,-19.47,0.9,8.73,0.127,0.413,0.232,0.078,0.151
19,2.531,352,12.05,0.731,-11.75,0.9,12.8,0.145,0.083,0.021,0.137,0.614
7,2.494,770,23.29,1.294,-17.95,0.6,3.43,0.258,0.139,0.13,0.354,0.12
16,2.489,1206,24.72,1.289,-17.51,0.6,6.41,0.658,0.145,0.067,0.071,0.059
3,2.435,510,23.43,1.235,-14.93,0.6,3.29,0.082,0.049,0.168,0.481,0.22
8,2.38,723,22.98,1.18,-18.3,0.6,9.77,0.266,0.277,0.216,0.015,0.226
11,2.353,790,25.73,1.353,-18.11,0.5,3.55,0.325,0.164,0.229,0.208,0.075
5,2.27,583,15.95,0.87,-16.53,0.7,12.71,0.23,0.25,0.043,0.099,0.378
18,2.12,572,22.73,1.12,-20.3,0.5,2.46,0.048,0.488,0.329,0.084,0.051
13,2.115,948,24.5,1.315,-16.47,0.4,5.87,0.384,0.244,0.138,0.01,0.223
