step,phase,J,best_so_far
1,random,0.52469,0.52469
2,random,0.47143,0.52469
3,random,0.52371,0.52469
4,random,0.51985,0.52469
5,random,0.47378,0.52469
6,random,0.47627,0.52469
7,random,0.35794,0.52469
8,random,0.4713,0.52469
9,random,0.47605,0.52469
10,random,0.53957,0.53957
11,random,0.46674,0.53957
12,random,0.35637,0.53957
13,random,0.45628,0.53957
14,random,0.53505,0.53957
15,random,0.52666,0.53957
16,random,0.47771,0.53957
17,random,0.52666,0.53957
18,random,0.52991,0.53957
19,random,0.52875,0.53957
20,random,0.52599,0.53957
21,random,0.53027,0.53957
22,random,0.48021,0.53957
23,random,0.40517,0.53957
24,random,0.41134,0.53957
25,random,0.53142,0.53957
26,random,0.5256,0.53957
27,random,0.51952,0.53957
28,random,0.52545,0.53957
29,random,0.45579,0.53957
30,random,0.41942,0.53957
31,random,0.52454,0.53957
32,random,0.54266,0.54266
33,random,0.53099,0.54266
34,random,0.52997,0.54266
35,random,0.4713,0.54266
36,random,0.41547,0.54266
37,random,0.47775,0.54266
38,random,0.40969,0.54266
39,random,0.52966,0.54266
40,random,0.52391,0.54266
41,gp,0.54245,0.54266
42,gp,0.47748,0.54266
43,gp,0.53769,0.54266
44,gp,0.53515,0.54266
45,gp,0.48573,0.54266
46,gp,0.53791,0.54266
47,gp,0.53847,0.54266
48,gp,0.49443,0.54266
49,gp,0.53967,0.54266
50,gp,0.53779,0.54266
51,gp,0.49041,0.54266
52,gp,0.48474,0.54266
53,gp,0.54429,0.54429
54,gp,0.53162,0.54429
55,gp,0.53732,0.54429
56,gp,0.52914,0.54429
57,gp,0.54047,0.54429
58,gp,0.53241,0.54429
59,gp,0.5341,0.54429
60,gp,0.53458,0.54429
61,gp,0.53579,0.54429
62,gp,0.54215,0.54429
63,gp,0.53123,0.54429
64,gp,0.48221,0.54429
65,gp,0.54276,0.54429
66,gp,0.53729,0.54429
67,gp,0.53447,0.54429
68,gp,0.48549,0.54429
69,gp,0.53344,0.54429
70,gp,0.53593,0.54429
71,gp,0.53741,0.54429
72,gp,0.54311,0.54429
73,gp,0.5362,0.54429
74,gp,0.5446,0.5446
75,gp,0.54214,0.5446
76,gp,0.53702,0.5446
77,gp,0.53284,0.5446
78,gp,0.53666,0.5446
79,gp,0.49079,0.5446
80,gp,0.54409,0.5446
81,gp,0.49081,0.5446
82,gp,0.54717,0.54717
83,gp,0.53383,0.54717
84,gp,0.52663,0.54717
85,gp,0.53329,0.54717
86,gp,0.53335,0.54717
87,gp,0.53503,0.54717
88,gp,0.54281,0.54717
89,gp,0.53807,0.54717
90,gp,0.54575,0.54717
91,gp,0.53662,0.54717
92,gp,0.5341,0.54717
93,gp,0.53289,0.54717
94,gp,0.5436,0.54717
95,gp,0.54619,0.54717
96,gp,0.54529,0.54717
97,gp,0.4911,0.54717
98,gp,0.53966,0.54717
99,gp,0.54013,0.54717
100,gp,0.54176,0.54717
101,gp,0.5447,0.54717
102,gp,0.53506,0.54717
103,gp,0.53849,0.54717
104,gp,0.54194,0.54717
105,gp,0.5344,0.54717
106,gp,0.53466,0.54717
107,gp,0.53372,0.54717
108,gp,0.53599,0.54717
109,gp,0.4899,0.54717
110,gp,0.23177,0.54717
111,gp,0.48707,0.54717
112,gp,0.48727,0.54717
113,gp,0.53107,0.54717
114,gp,0.53814,0.54717
115,gp,0.49403,0.54717
116,gp,0.49361,0.54717
117,gp,0.5422,0.54717
118,gp,0.53956,0.54717
119,gp,0.53703,0.54717
120,gp,0.5397,0.54717
