test_start,test_end,w_tech_trend,w_tech_extension,w_tech_volume,w_mom_12_1,w_mom_3m,w_mom_rs,w_qual_gpa,w_qual_fcf,w_qual_roa,w_fund_value,w_fund_growth,w_earnings_drift,IC_test,Mono_test,TopRet_test_pct,NDCG10_test,IC_std_test,IC_IR_test
2023-01,2023-01,0.1064,0.1864,0.0456,0.005,0.0058,0.0967,0.0377,0.0006,0.1437,0.0498,0.1378,0.1845,-0.0186,0.2,-27.31,-0.0099,0.0,0.0
2023-02,2023-02,0.0833,0.2216,0.055,0.0222,0.0221,0.0883,0.0266,0.0005,0.112,0.0396,0.125,0.2038,0.1826,0.9,24.74,0.1634,0.0,0.0
2023-03,2023-03,0.0825,0.21,0.043,0.0183,0.0478,0.0951,0.0401,0.0017,0.1013,0.03,0.0911,0.2391,0.0925,0.5,106.93,0.0985,0.0,0.0
2023-04,2023-04,0.0686,0.2086,0.0362,0.0631,0.0404,0.0764,0.0502,0.0013,0.1003,0.0322,0.0845,0.2383,0.0775,0.4,92.0,0.2095,0.0,0.0
2023-05,2023-05,0.071,0.2071,0.0362,0.0699,0.0363,0.0874,0.0495,0.0025,0.0715,0.0233,0.0652,0.2801,0.0912,0.6,112.76,0.1358,0.0,0.0
2023-06,2023-06,0.0559,0.2347,0.0281,0.072,0.0474,0.1013,0.0493,0.0018,0.0546,0.0269,0.0534,0.2746,0.1134,0.7,143.02,0.2941,0.0,0.0
2023-07,2023-07,0.0525,0.2004,0.02,0.0887,0.0607,0.1159,0.0479,0.0018,0.0514,0.0276,0.0518,0.2812,-0.0228,0.4,75.91,0.0451,0.0,0.0
2023-08,2023-08,0.0373,0.2179,0.0234,0.1641,0.0668,0.0964,0.0393,0.0042,0.0482,0.0284,0.0363,0.2376,-0.0251,-0.4,36.29,0.0265,0.0,0.0
2023-09,2023-09,0.0338,0.1856,0.017,0.1675,0.1018,0.1548,0.0293,0.0123,0.0405,0.0253,0.0316,0.2005,0.1052,0.9,0.56,0.0903,0.0,0.0
2023-10,2023-10,0.0375,0.1738,0.012,0.1881,0.0824,0.1634,0.0219,0.0304,0.066,0.0237,0.0435,0.1574,0.1813,0.9,158.58,0.2112,0.0,0.0
2023-11,2023-11,0.0372,0.1297,0.0154,0.297,0.0735,0.1297,0.0225,0.0224,0.0769,0.0181,0.0477,0.13,-0.0474,-0.4,92.25,0.0402,0.0,0.0
2023-12,2023-12,0.0267,0.1499,0.0147,0.3288,0.0723,0.1039,0.016,0.0158,0.0725,0.0127,0.053,0.1337,0.3385,1.0,144.53,0.2042,0.0,0.0
2024-01,2024-01,0.0369,0.1606,0.0115,0.3104,0.061,0.1235,0.0131,0.0202,0.0728,0.0213,0.0372,0.1316,0.043,0.4,2.2,0.1273,0.0,0.0
2024-02,2024-02,0.0441,0.1682,0.0092,0.2975,0.0532,0.1371,0.011,0.0233,0.073,0.0273,0.0261,0.1301,-0.0129,0.3,41.62,0.0626,0.0,0.0
2024-03,2024-03,0.0316,0.1768,0.0104,0.3292,0.058,0.1091,0.0079,0.0164,0.0698,0.0191,0.0379,0.1338,0.1173,0.9,109.27,0.2091,0.0,0.0
2024-04,2024-04,0.0247,0.1634,0.0123,0.321,0.0543,0.1822,0.0081,0.0244,0.0496,0.0226,0.0392,0.0983,0.0452,0.6,41.09,-0.0181,0.0,0.0
2024-05,2024-05,0.0217,0.1245,0.0139,0.3625,0.0545,0.1803,0.0094,0.0242,0.0538,0.0468,0.0326,0.0758,-0.0776,-0.2,123.3,0.1978,0.0,0.0
2024-06,2024-06,0.0304,0.0979,0.0185,0.4263,0.0463,0.1323,0.0082,0.0172,0.0769,0.0451,0.0282,0.0726,0.0192,0.7,68.97,0.1633,0.0,0.0
2024-07,2024-07,0.0329,0.1181,0.0227,0.3684,0.0494,0.1177,0.009,0.015,0.0979,0.0555,0.0256,0.0878,-0.0654,-0.3,9.82,-0.0704,0.0,0.0
2024-08,2024-08,0.0396,0.1551,0.02,0.2708,0.056,0.1878,0.0091,0.0112,0.0766,0.0748,0.0278,0.0712,-0.1071,-0.6,17.11,-0.1106,0.0,0.0
2024-09,2024-09,0.0339,0.1841,0.016,0.2351,0.0474,0.2131,0.0071,0.0081,0.0822,0.0948,0.0241,0.0541,0.0641,0.4,-53.67,-0.1182,0.0,0.0
2024-10,2024-10,0.03,0.2044,0.0132,0.2102,0.0413,0.2308,0.0058,0.0059,0.0861,0.1088,0.0214,0.0421,0.0906,0.8,29.85,0.0606,0.0,0.0
2024-11,2024-11,0.021,0.1855,0.0236,0.2535,0.0643,0.1812,0.0143,0.0088,0.083,0.1048,0.0209,0.0392,0.1389,0.7,43.75,0.1316,0.0,0.0
2024-12,2024-12,0.0315,0.166,0.0179,0.2225,0.0627,0.1864,0.0282,0.0133,0.1079,0.1029,0.0164,0.0442,-0.2969,-1.0,-145.51,-0.3554,0.0,0.0
2025-01,2025-01,0.0283,0.1918,0.0145,0.2014,0.052,0.2121,0.0205,0.0096,0.1041,0.1145,0.0161,0.0351,0.0204,0.3,-151.12,-0.8327,0.0,0.0
2025-02,2025-02,0.0382,0.2013,0.0144,0.1796,0.0464,0.188,0.0175,0.0079,0.1187,0.1138,0.0256,0.0488,0.0766,0.7,150.85,0.4583,0.0,0.0
2025-03,2025-03,0.048,0.1679,0.0134,0.1661,0.0346,0.1957,0.0139,0.0058,0.1209,0.134,0.0398,0.0599,0.0345,0.0,24.32,-0.1678,0.0,0.0
2025-04,2025-04,0.0464,0.1489,0.0167,0.2058,0.0246,0.1466,0.0121,0.0045,0.1292,0.1374,0.0769,0.0509,-0.2146,-1.0,79.43,0.1434,0.0,0.0
2025-05,2025-05,0.0387,0.1798,0.0137,0.1896,0.0254,0.1842,0.0092,0.0034,0.119,0.1387,0.0584,0.0399,0.1346,1.0,57.63,0.1451,0.0,0.0
2025-06,2025-06,0.0271,0.1412,0.017,0.2161,0.0262,0.1765,0.029,0.003,0.1426,0.148,0.0453,0.0279,-0.0831,-0.5,-42.75,0.1766,0.0,0.0
2025-07,2025-07,0.0273,0.1681,0.0161,0.1548,0.022,0.1749,0.021,0.0082,0.1243,0.1577,0.0761,0.0495,-0.0115,0.1,-3.34,-0.0386,0.0,0.0
2025-08,2025-08,0.0225,0.1931,0.0132,0.2036,0.0159,0.1407,0.0155,0.015,0.1245,0.1132,0.0988,0.044,-0.0265,0.0,-19.01,-0.051,0.0,0.0
2025-09,2025-09,0.0254,0.2312,0.0233,0.1633,0.0112,0.13,0.011,0.0162,0.1498,0.0868,0.0828,0.069,0.0408,0.4,53.45,0.3309,0.0,0.0
2025-10,2025-10,0.0243,0.2255,0.0205,0.1199,0.0171,0.1197,0.02,0.0316,0.1689,0.1065,0.0927,0.0533,0.0615,0.7,-18.22,0.0695,0.0,0.0
2025-11,2025-11,0.018,0.2231,0.0278,0.1932,0.0132,0.0892,0.032,0.0226,0.1644,0.0792,0.0962,0.0412,0.127,0.9,16.27,0.1061,0.0,0.0
2025-12,2025-12,0.0171,0.2179,0.0244,0.2112,0.0129,0.0658,0.0293,0.0197,0.1956,0.0584,0.1179,0.0299,0.1237,0.7,-37.79,-0.0667,0.0,0.0
2026-01,2026-01,0.016,0.1666,0.0205,0.2012,0.0188,0.0884,0.0393,0.0145,0.169,0.072,0.1688,0.0248,0.0971,0.6,-2.99,-0.078,0.0,0.0
2026-02,2026-02,0.0204,0.1669,0.015,0.197,0.0188,0.1222,0.0433,0.0118,0.1923,0.0603,0.1204,0.0314,0.0921,0.7,-61.66,-0.1764,0.0,0.0
2026-03,2026-03,0.0172,0.2463,0.0118,0.1986,0.0261,0.094,0.0352,0.0101,0.1496,0.0475,0.1336,0.03,-0.0278,-0.4,145.29,0.1934,0.0,0.0
