rank_by_val_consistent,rank,w_technical,w_fundamental,w_momentum,w_quality,w_earnings_drift,J_train,IC_train,IC_val,IC_test,Mono_train,Mono_val,Mono_test,Q5Q1_train_pct,Q5Q1_val_pct,Q5Q1_test_pct,TopRet_train_pct,TopRet_val_pct,TopRet_test_pct,gap_ic,val_consistent
1,20,0.2541,0.0277,0.2459,0.1379,0.3344,1.3841,0.0106,-0.0452,0.046,0.9,-0.9,0.9,0.4,-1.01,1.02,40.27,11.42,-14.98,0.0557,-0.09521
2,19,0.5588,0.168,0.0,0.0,0.2732,1.3883,-0.0002,-0.0555,0.0188,0.7,-0.9,0.6,0.2,-1.37,0.42,38.7,12.16,-16.56,0.0553,-0.10383
3,17,0.3515,0.1091,0.0015,0.1764,0.3614,1.3964,0.0017,-0.0573,0.0255,0.7,-0.8,0.9,0.16,-1.37,0.39,40.21,11.43,-16.89,0.059,-0.10393999999999999
4,18,0.3862,0.1143,0.0018,0.2299,0.2679,1.391,0.0018,-0.0557,0.0237,0.7,-1.0,0.9,0.18,-1.49,0.41,39.99,11.43,-16.65,0.0575,-0.11159
5,16,0.4536,0.1508,0.0102,0.0,0.3854,1.4081,0.0003,-0.0569,0.0242,0.7,-1.0,0.8,0.12,-1.35,0.32,39.42,11.44,-17.5,0.0572,-0.11262
6,15,0.4929,0.1511,0.0,0.0,0.3561,1.4323,0.0002,-0.0567,0.0206,0.7,-1.0,0.8,0.12,-1.49,0.32,38.75,10.87,-17.74,0.0569,-0.11341000000000001
7,2,0.4889,0.1391,0.0,0.0,0.372,1.4398,0.0004,-0.0572,0.0193,0.7,-1.0,0.8,0.14,-1.49,0.23,39.21,10.83,-18.96,0.0577,-0.11439
8,4,0.4929,0.1392,0.0,0.0,0.3679,1.4398,0.0004,-0.0572,0.019,0.7,-1.0,0.8,0.14,-1.51,0.25,39.04,10.59,-18.96,0.0577,-0.11487
9,1,0.4901,0.1391,0.0,0.0,0.3708,1.4399,0.0004,-0.0573,0.0193,0.7,-1.0,0.8,0.14,-1.51,0.25,39.19,10.65,-18.96,0.0578,-0.1149
10,7,0.4923,0.1375,0.0005,0.0,0.3698,1.4391,0.0005,-0.0574,0.0189,0.7,-1.0,0.8,0.13,-1.49,0.25,39.08,10.73,-19.01,0.058,-0.11493999999999999
11,3,0.4902,0.1393,0.0,0.0,0.3705,1.4398,0.0004,-0.0573,0.0193,0.7,-1.0,0.8,0.15,-1.52,0.25,39.23,10.57,-18.96,0.0577,-0.11501
12,5,0.4957,0.1393,0.0,0.0023,0.3627,1.4393,0.0004,-0.0573,0.0189,0.7,-1.0,0.8,0.13,-1.48,0.23,39.05,10.54,-19.17,0.0577,-0.11507
13,9,0.4705,0.135,0.0,0.0258,0.3687,1.4385,0.0006,-0.0574,0.0202,0.7,-1.0,0.9,0.12,-1.53,0.36,39.46,10.31,-18.45,0.058,-0.11578
14,6,0.4802,0.1352,0.0,0.0116,0.3729,1.4391,0.0006,-0.0573,0.0194,0.7,-1.0,0.8,0.11,-1.53,0.25,39.35,10.21,-18.64,0.0578,-0.11578
15,10,0.4719,0.1319,0.0,0.0323,0.3639,1.4383,0.0007,-0.0575,0.0195,0.7,-1.0,0.8,0.11,-1.54,0.27,39.34,10.37,-19.18,0.0582,-0.11586000000000002
16,12,0.4417,0.1271,0.0,0.0776,0.3536,1.4364,0.001,-0.0575,0.0213,0.7,-1.0,0.8,0.13,-1.43,0.3,39.52,10.41,-18.2,0.0584,-0.11588000000000001
17,11,0.4573,0.1306,0.0,0.0531,0.359,1.4376,0.0008,-0.0574,0.0204,0.7,-1.0,0.8,0.11,-1.49,0.31,39.44,10.3,-18.09,0.0582,-0.11589999999999999
18,8,0.4801,0.1372,0.0,0.0,0.3828,1.439,0.0004,-0.0575,0.0198,0.7,-1.0,0.9,0.13,-1.5,0.26,39.25,10.18,-19.29,0.0579,-0.11609000000000001
19,14,0.4408,0.1227,0.0,0.0878,0.3488,1.4356,0.0011,-0.0574,0.0208,0.7,-1.0,0.8,0.12,-1.45,0.29,39.41,10.26,-18.46,0.0585,-0.11613
20,13,0.446,0.1242,0.0,0.0785,0.3514,1.4361,0.001,-0.0576,0.0205,0.7,-1.0,0.8,0.12,-1.49,0.26,39.63,9.86,-18.46,0.0586,-0.11718
