rank_by_val_consistent,rank,w_technical,w_fundamental,w_momentum,w_quality,w_earnings_drift,J_train,IC_train,IC_val,IC_test,Mono_train,Mono_val,Mono_test,Q5Q1_train_pct,Q5Q1_val_pct,Q5Q1_test_pct,gap_ic,val_consistent
12,1,0.0704,0.0295,0.0346,0.4421,0.4234,0.0388,0.0388,-0.0422,0.0069,0.0,-0.9,0.3,-2.31,-0.81,1.06,0.081,-0.0827
10,2,0.1013,0.0314,0.0275,0.4738,0.3661,0.0381,0.0381,-0.0397,0.0077,0.0,-0.9,0.1,-2.34,-0.62,1.11,0.0777,-0.07855000000000001
6,3,0.0012,0.0229,0.1268,0.8029,0.0462,0.036,0.036,-0.024,-0.0265,0.0,-0.7,0.3,-2.45,-1.03,0.03,0.06,-0.054
2,4,0.136,0.0664,0.0102,0.6998,0.0876,0.035,0.035,-0.0103,0.0011,0.0,-0.8,-0.3,-2.39,-0.3,-0.05,0.0452,-0.0329
5,5,0.0396,0.1127,0.0424,0.5346,0.2707,0.0342,0.0342,-0.0221,-0.0012,0.0,-0.8,0.0,-2.41,-0.25,0.5,0.0563,-0.05025
17,6,0.0605,0.0036,0.0286,0.2247,0.6826,0.034,0.034,-0.0707,0.0269,0.0,-0.6,0.3,-2.41,-0.89,1.42,0.1047,-0.12304999999999999
4,7,0.0211,0.1257,0.0163,0.4135,0.4233,0.0336,0.0336,-0.0217,0.0084,0.0,-0.9,0.2,-2.51,-0.65,0.82,0.0553,-0.049350000000000005
8,8,0.1509,0.0814,0.0408,0.5654,0.1615,0.0329,0.0329,-0.0361,0.0055,0.0,-0.8,0.1,-2.46,-0.84,0.73,0.069,-0.0706
7,9,0.2115,0.1046,0.0178,0.6085,0.0576,0.0296,0.0296,-0.0278,0.0104,0.0,-0.8,0.2,-2.53,-0.64,0.51,0.0574,-0.056499999999999995
19,10,0.082,0.0488,0.1681,0.4807,0.2203,0.0295,0.0295,-0.0801,-0.012,0.0,-1.0,0.1,-2.71,-1.78,0.34,0.1096,-0.13490000000000002
1,11,0.0125,0.2235,0.0261,0.6545,0.0834,0.0283,0.0283,0.002,-0.0065,0.0,-0.6,-0.1,-2.63,-0.09,-0.66,0.0263,-0.01115
9,12,0.1492,0.1836,0.0639,0.5026,0.1007,0.0265,0.0265,-0.0391,0.0084,0.0,-1.0,0.1,-2.65,-1.22,0.01,0.0656,-0.0719
20,13,0.0951,0.0874,0.2034,0.4484,0.1657,0.0254,0.0254,-0.0858,-0.0097,0.0,-1.0,0.1,-2.83,-1.93,0.04,0.1112,-0.1414
14,14,0.3458,0.0261,0.0434,0.5478,0.0368,0.024,0.024,-0.0536,0.0197,0.0,-0.5,0.1,-2.53,-0.9,0.52,0.0776,-0.09240000000000001
16,15,0.1448,0.0831,0.0207,0.1373,0.6141,0.0237,0.0237,-0.0722,0.0455,0.0,-0.9,0.3,-2.55,-1.51,0.55,0.0959,-0.12015
11,16,0.3333,0.0957,0.0,0.4652,0.1059,0.0235,0.0235,-0.0456,0.0283,0.0,-0.9,0.1,-2.57,-1.01,0.49,0.069,-0.0801
13,17,0.0156,0.2408,0.1453,0.419,0.1794,0.0232,0.0232,-0.0484,-0.0019,0.0,-0.9,-0.1,-2.84,-1.05,-0.42,0.0716,-0.0842
3,18,0.0668,0.2945,0.0651,0.5473,0.0263,0.0231,0.0231,-0.0177,0.0009,0.0,-0.7,0.0,-2.78,-0.58,-0.58,0.0408,-0.0381
18,19,0.2588,0.1383,0.1298,0.3537,0.1195,0.02,0.02,-0.0819,0.0164,0.0,-1.0,0.3,-2.75,-1.73,0.24,0.102,-0.1329
15,20,0.0205,0.1636,0.0407,0.0446,0.7306,0.0198,0.0198,-0.0643,0.0351,0.0,-0.6,0.0,-2.79,-0.81,0.95,0.0841,-0.10635
