rank_by_val_consistent,rank,w_technical,w_fundamental,w_momentum,w_quality,w_earnings_drift,J_train,IC_train,IC_val,IC_test,Mono_train,Mono_val,Mono_test,Q5Q1_train_pct,Q5Q1_val_pct,Q5Q1_test_pct,gap_ic,val_consistent
1,2,0.0229,0.0307,0.0507,0.5849,0.3107,0.0203,0.0203,0.0349,0.0324,0.0,0.9,0.7,-2.05,0.67,1.0,-0.0146,0.0276
2,3,0.0705,0.0295,0.0343,0.4422,0.4235,0.0195,0.0195,0.032,0.0279,0.0,1.0,0.7,-2.03,0.61,0.93,-0.0125,0.025750000000000002
3,1,0.1011,0.0315,0.0274,0.4738,0.3662,0.0204,0.0204,0.0297,0.0301,0.0,0.9,0.7,-2.02,0.5,1.07,-0.0093,0.025050000000000003
4,4,0.0886,0.0188,0.0785,0.5308,0.2833,0.0194,0.0194,0.0271,0.0281,0.0,0.9,0.7,-2.03,0.29,0.92,-0.0078,0.0232
5,13,0.0209,0.1473,0.0159,0.4032,0.4127,0.0105,0.0105,0.034,0.0254,0.0,1.0,0.9,-2.27,0.67,0.59,-0.0236,0.022200000000000004
6,11,0.0,0.1065,0.1007,0.5284,0.2645,0.0121,0.0121,0.0316,0.025,0.0,0.7,0.7,-2.25,0.44,0.64,-0.0194,0.021900000000000003
7,5,0.1934,0.062,0.0095,0.6533,0.0818,0.0192,0.0192,0.0243,0.0342,0.0,0.7,0.7,-2.1,0.36,0.93,-0.0051,0.02175
8,16,0.0127,0.2239,0.0253,0.6547,0.0835,0.0102,0.0102,0.0328,0.0276,0.0,0.7,0.9,-2.31,0.63,0.38,-0.0227,0.021450000000000004
9,8,0.0605,0.0038,0.0286,0.2246,0.6825,0.0152,0.0152,0.0276,0.0139,0.0,0.9,0.1,-2.06,0.46,0.64,-0.0124,0.0214
10,7,0.2109,0.1067,0.0173,0.6081,0.0571,0.0158,0.0158,0.0226,0.0309,0.0,0.7,0.6,-2.15,0.35,0.87,-0.0068,0.0192
11,6,0.1505,0.0626,0.1042,0.6039,0.0789,0.0159,0.0159,0.0218,0.0275,0.0,0.6,0.6,-2.15,0.28,0.82,-0.0059,0.01885
12,12,0.243,0.0949,0.0405,0.3001,0.3215,0.0115,0.0115,0.0121,0.0207,0.0,0.3,0.3,-2.17,0.22,0.63,-0.0006,0.0118
13,9,0.3052,0.0807,0.0,0.3706,0.2435,0.0141,0.0141,0.0111,0.0238,0.0,0.9,0.6,-2.1,0.22,0.64,0.003,0.009600000000000001
14,14,0.2489,0.0883,0.0432,0.2425,0.3771,0.0104,0.0104,0.0091,0.0188,0.0,0.4,0.3,-2.24,0.31,0.6,0.0012,0.0085
15,20,0.3023,0.0782,0.0729,0.2542,0.2923,0.0093,0.0093,0.0032,0.0172,0.0,0.2,0.1,-2.23,0.15,0.44,0.0061,0.00014999999999999996
16,15,0.1931,0.0,0.1959,0.35,0.261,0.0102,0.0102,0.0025,0.0151,0.0,-0.8,0.7,-2.28,-0.23,0.45,0.0077,-0.00135
17,17,0.2159,0.0027,0.2485,0.456,0.077,0.0098,0.0098,0.0023,0.0151,0.0,-0.9,0.7,-2.31,-0.15,0.42,0.0075,-0.00145
18,10,0.2242,0.0,0.0864,0.2454,0.4439,0.0129,0.0129,0.0026,0.0175,0.0,0.0,0.5,-2.11,0.11,0.61,0.0103,-0.00255
19,18,0.4421,0.08,0.055,0.3168,0.1061,0.0097,0.0097,-0.0013,0.0177,0.0,-0.2,0.5,-2.24,0.02,0.46,0.011,-0.0068
20,19,0.6233,0.0087,0.0054,0.2691,0.0935,0.0096,0.0096,-0.0087,0.0152,0.0,-0.3,0.6,-2.09,-0.08,0.4,0.0183,-0.017849999999999998
