rank_by_val_consistent,rank,w_technical,w_fundamental,w_momentum,w_quality,w_earnings_drift,J_train,IC_train,IC_val,IC_test,Mono_train,Mono_val,Mono_test,Q5Q1_train_pct,Q5Q1_val_pct,Q5Q1_test_pct,TopRet_train_pct,TopRet_val_pct,TopRet_test_pct,gap_ic,val_consistent
1,19,0.2513,0.0272,0.2472,0.1414,0.333,1.3843,0.0108,-0.0381,-0.0354,0.9,-0.9,-0.1,0.39,-1.09,-0.35,40.61,18.22,-1.08,0.0489,-0.07111
2,20,0.2465,0.0283,0.2395,0.1616,0.3241,1.379,0.011,-0.0382,-0.0348,0.9,-0.9,-0.1,0.4,-1.09,-0.36,40.38,18.02,-1.55,0.0491,-0.07171
3,18,0.3996,0.131,0.0,0.0219,0.4475,1.3932,0.0005,-0.0753,-0.0015,0.7,-0.8,0.4,0.17,-1.92,0.65,40.22,14.92,8.33,0.0758,-0.12336000000000001
4,14,0.431,0.1147,0.0003,0.1728,0.2811,1.4173,0.0017,-0.0721,-0.006,0.7,-0.9,0.7,0.14,-2.03,0.18,39.54,13.37,5.36,0.0739,-0.12731
5,13,0.444,0.1251,0.0,0.1286,0.3024,1.4324,0.0013,-0.0726,-0.0046,0.7,-0.9,0.8,0.09,-2.02,0.3,39.04,13.3,6.16,0.0738,-0.1279
6,17,0.5749,0.154,0.0,0.0029,0.2683,1.3938,0.0,-0.071,-0.0058,0.7,-1.0,0.9,0.11,-1.92,0.46,38.84,13.52,8.04,0.0711,-0.12951000000000001
7,11,0.5264,0.1455,0.0,0.0,0.3282,1.4349,0.0003,-0.0724,-0.0054,0.7,-1.0,0.9,0.16,-2.04,0.45,39.11,13.68,7.42,0.0728,-0.13144
8,12,0.5151,0.1461,0.0,0.0179,0.3209,1.4324,0.0004,-0.0724,-0.0047,0.7,-1.0,0.9,0.16,-2.07,0.47,38.94,13.42,7.82,0.0728,-0.13196000000000002
9,16,0.476,0.1484,0.0152,0.0,0.3604,1.4035,0.0007,-0.0721,-0.0042,0.7,-1.0,0.5,0.14,-1.98,0.45,39.23,12.96,7.11,0.0728,-0.13257999999999998
10,9,0.4395,0.1239,0.0,0.0993,0.3373,1.4417,0.0013,-0.073,-0.0048,0.7,-1.0,0.9,0.13,-1.95,0.39,39.47,12.88,7.44,0.0743,-0.13439
11,5,0.4862,0.1378,0.0,0.0052,0.3708,1.4463,0.0006,-0.0731,-0.0049,0.7,-1.0,0.9,0.14,-2.11,0.39,39.26,12.34,6.93,0.0737,-0.13527
12,4,0.4942,0.1379,0.0,0.0,0.3679,1.4468,0.0005,-0.0732,-0.0054,0.7,-1.0,0.9,0.14,-2.09,0.41,39.15,12.33,7.55,0.0737,-0.13539
13,7,0.4519,0.1274,0.0,0.0785,0.3422,1.4431,0.0011,-0.0732,-0.005,0.7,-1.0,0.8,0.12,-2.03,0.32,39.19,12.45,7.07,0.0743,-0.13545000000000001
14,3,0.4951,0.1387,0.0,0.0,0.3663,1.4468,0.0005,-0.0731,-0.0053,0.7,-1.0,0.9,0.15,-2.11,0.4,39.28,12.12,7.55,0.0736,-0.13566
15,1,0.4946,0.1388,0.0,0.0,0.3666,1.4468,0.0006,-0.0731,-0.0053,0.7,-1.0,0.9,0.14,-2.12,0.4,39.22,12.12,7.32,0.0737,-0.13571
16,2,0.4943,0.1387,0.0,0.0,0.367,1.4468,0.0006,-0.0731,-0.0053,0.7,-1.0,0.9,0.14,-2.12,0.4,39.19,12.12,7.32,0.0737,-0.13571
17,15,0.4407,0.1206,0.0,0.0031,0.4356,1.4101,0.0009,-0.0743,-0.0061,0.7,-1.0,0.3,0.16,-1.99,0.45,40.23,12.96,7.41,0.0752,-0.13598
18,10,0.4313,0.1174,0.0,0.1101,0.3412,1.4392,0.0014,-0.073,-0.0058,0.7,-1.0,0.5,0.14,-2.05,0.3,39.47,11.89,6.26,0.0744,-0.13641999999999999
19,6,0.477,0.1315,0.0,0.0293,0.3622,1.445,0.0008,-0.0735,-0.0055,0.7,-1.0,0.8,0.14,-2.09,0.44,39.45,12.04,7.77,0.0743,-0.13657
20,8,0.4407,0.1254,0.0,0.0849,0.3489,1.4422,0.0011,-0.0733,-0.0049,0.7,-1.0,0.8,0.11,-2.03,0.35,39.44,11.86,7.17,0.0744,-0.13678
