step,phase,J,best_so_far
1,random,-0.3071,-0.3071
2,random,-0.14753,-0.14753
3,random,-0.1996,-0.14753
4,random,-0.2057,-0.14753
5,random,-0.20458,-0.14753
6,random,-0.3625,-0.14753
7,random,-0.15093,-0.14753
8,random,-0.30926,-0.14753
9,random,-0.15995,-0.14753
10,random,-0.05789,-0.05789
11,random,-0.40374,-0.05789
12,random,-0.15279,-0.05789
13,random,-0.15288,-0.05789
14,random,-0.20846,-0.05789
15,random,-0.35952,-0.05789
16,random,-0.46652,-0.05789
17,random,-0.36755,-0.05789
18,random,-0.35911,-0.05789
19,random,-0.20874,-0.05789
20,random,-0.15412,-0.05789
21,gp,-0.05955,-0.05789
22,gp,-0.15823,-0.05789
23,gp,-0.05701,-0.05701
24,gp,-0.05301,-0.05301
25,gp,-0.0543,-0.05301
26,gp,0.2438,0.2438
27,gp,0.04194,0.2438
28,gp,-0.30684,0.2438
29,gp,-0.20536,0.2438
30,gp,-0.30677,0.2438
31,gp,-0.25694,0.2438
32,gp,0.24595,0.24595
33,gp,-0.46307,0.24595
34,gp,-0.16043,0.24595
35,gp,-0.10799,0.24595
36,gp,-0.16183,0.24595
37,gp,0.29193,0.29193
38,gp,-0.1083,0.29193
39,gp,0.04459,0.29193
40,gp,-0.20251,0.29193
41,gp,-0.05727,0.29193
42,gp,0.03753,0.29193
43,gp,-0.15644,0.29193
44,gp,0.29319,0.29319
45,gp,0.29152,0.29319
46,gp,-0.05965,0.29319
47,gp,-0.16229,0.29319
48,gp,0.24455,0.29319
49,gp,-0.31103,0.29319
50,gp,0.29114,0.29319
51,gp,-0.11389,0.29319
52,gp,-0.00382,0.29319
53,gp,-0.05679,0.29319
54,gp,-0.31488,0.29319
55,gp,0.04237,0.29319
56,gp,-0.2129,0.29319
57,gp,-0.05844,0.29319
58,gp,0.04315,0.29319
59,gp,0.28977,0.29319
60,gp,-0.15138,0.29319
61,gp,-0.21248,0.29319
62,gp,0.24028,0.29319
63,gp,-0.31602,0.29319
64,gp,0.09108,0.29319
65,gp,-0.25787,0.29319
66,gp,0.24496,0.29319
67,gp,0.19782,0.29319
68,gp,0.14324,0.29319
69,gp,-0.11312,0.29319
70,gp,-0.00359,0.29319
71,gp,0.24198,0.29319
72,gp,0.24252,0.29319
73,gp,0.2455,0.29319
74,gp,-0.15922,0.29319
75,gp,-0.26451,0.29319
76,gp,-0.31263,0.29319
77,gp,-0.26357,0.29319
78,gp,0.2895,0.29319
79,gp,-0.15525,0.29319
80,gp,-0.16579,0.29319
