test_start,test_end,w_tech_trend,w_tech_extension,w_tech_volume,w_mom_12_1,w_mom_3m,w_mom_rs,w_qual_gpa,w_qual_fcf,w_qual_roa,w_fund_value,w_fund_growth,w_earnings_drift,IC_test,Mono_test,TopRet_test_pct
2023-01,2023-01,0.1173,0.0026,0.1363,0.0054,0.0149,0.0709,0.0594,0.1064,0.0061,0.0079,0.1579,0.3149,0.1016,0.7,6.01
2023-02,2023-02,0.0868,0.0022,0.12,0.0067,0.0422,0.0508,0.1203,0.0878,0.0415,0.008,0.1545,0.2792,-0.0372,-0.3,-29.24
2023-03,2023-03,0.0651,0.1206,0.1058,0.0154,0.0395,0.0395,0.108,0.0771,0.0607,0.0376,0.1344,0.1963,0.0251,0.3,-25.5
2023-04,2023-04,0.1199,0.0972,0.0929,0.0146,0.0293,0.0339,0.099,0.0657,0.08,0.0293,0.1284,0.2097,0.0471,0.7,-4.56
2023-05,2023-05,0.1419,0.0907,0.0672,0.0104,0.0543,0.0248,0.0724,0.0713,0.0927,0.025,0.1065,0.2428,0.078,0.5,112.2
2023-06,2023-06,0.1146,0.2092,0.0481,0.0073,0.0654,0.0362,0.0546,0.0513,0.0682,0.0525,0.0895,0.2029,-0.0545,-0.3,57.27
2023-07,2023-07,0.082,0.2797,0.0339,0.0064,0.0476,0.0492,0.0511,0.0439,0.0644,0.0643,0.0913,0.1863,0.0805,0.6,-17.91
2023-08,2023-08,0.0582,0.2918,0.0379,0.0055,0.0384,0.0423,0.0387,0.0838,0.0649,0.099,0.0817,0.1579,0.0787,0.7,-69.28
2023-09,2023-09,0.0505,0.2944,0.0286,0.0132,0.0288,0.0306,0.0381,0.127,0.0898,0.1086,0.0623,0.1279,0.0016,-0.3,-54.28
2023-10,2023-10,0.0667,0.3161,0.0211,0.0167,0.0288,0.0218,0.0292,0.1084,0.0656,0.1613,0.0671,0.0974,0.07,0.7,126.06
2023-11,2023-11,0.0638,0.2781,0.0148,0.0202,0.0232,0.0331,0.0483,0.0926,0.0528,0.1607,0.0705,0.1419,-0.2049,-0.9,68.0
2023-12,2023-12,0.0467,0.2648,0.0133,0.0153,0.0199,0.027,0.04,0.1313,0.0683,0.155,0.0758,0.1427,0.1021,0.9,17.88
2024-01,2024-01,0.0365,0.2718,0.0106,0.0286,0.0146,0.0207,0.0352,0.1024,0.0902,0.1448,0.108,0.1368,-0.0584,-0.7,70.59
2024-02,2024-02,0.0286,0.231,0.0089,0.0621,0.0208,0.0296,0.0262,0.0879,0.0702,0.1031,0.1201,0.2116,-0.0138,0.0,60.86
2024-03,2024-03,0.02,0.175,0.0079,0.0781,0.0244,0.0391,0.0338,0.0818,0.0619,0.0802,0.1491,0.2486,-0.0828,-1.0,-66.66
2024-04,2024-04,0.0146,0.1541,0.0292,0.0965,0.0199,0.0361,0.0251,0.1089,0.0855,0.0563,0.12,0.2539,0.0815,0.1,63.91
2024-05,2024-05,0.0149,0.1109,0.0323,0.082,0.0176,0.0632,0.0445,0.0937,0.0742,0.0395,0.2105,0.2166,0.088,0.9,2.62
2024-06,2024-06,0.0167,0.1264,0.0293,0.0663,0.0129,0.0526,0.0632,0.0891,0.1045,0.0293,0.1897,0.2201,-0.1038,-0.7,54.53
2024-07,2024-07,0.0146,0.196,0.0208,0.1062,0.0139,0.0636,0.0453,0.0897,0.082,0.034,0.1672,0.1667,0.1075,0.8,18.91
2024-08,2024-08,0.0123,0.2252,0.0347,0.1186,0.0103,0.0462,0.0364,0.0784,0.0856,0.0359,0.171,0.1454,-0.0246,-0.2,41.56
2024-09,2024-09,0.0116,0.245,0.026,0.1378,0.0102,0.0331,0.0324,0.0677,0.064,0.0282,0.1528,0.1912,0.0256,0.4,1.86
2024-10,2024-10,0.009,0.2891,0.0203,0.1734,0.0186,0.0382,0.033,0.0562,0.0567,0.0219,0.1253,0.1583,-0.0266,0.0,105.31
2024-11,2024-11,0.0079,0.2646,0.0238,0.168,0.0189,0.0291,0.026,0.0667,0.1377,0.0205,0.1129,0.124,0.0131,0.3,-77.91
2024-12,2024-12,0.0056,0.2432,0.0424,0.1911,0.0133,0.0302,0.0486,0.0892,0.0982,0.0288,0.1104,0.0991,0.2026,0.9,71.3
2025-01,2025-01,0.0062,0.2408,0.0632,0.1887,0.0127,0.0593,0.0384,0.0804,0.0933,0.028,0.115,0.0741,-0.0958,-0.3,-99.09
2025-02,2025-02,0.0077,0.2441,0.0461,0.2273,0.0094,0.0598,0.0277,0.0656,0.1028,0.0224,0.126,0.0613,-0.3378,-0.9,-103.16
2025-03,2025-03,0.0054,0.2288,0.058,0.2327,0.0067,0.0516,0.0498,0.0884,0.0737,0.0301,0.1196,0.0552,0.1327,1.0,3.11
2025-04,2025-04,0.0137,0.161,0.0503,0.2575,0.0104,0.0627,0.0512,0.0679,0.1316,0.0211,0.1292,0.0432,-0.1235,-1.0,41.03
2025-05,2025-05,0.012,0.1186,0.07,0.2282,0.0075,0.0443,0.037,0.0502,0.1413,0.0162,0.1823,0.0923,-0.3301,-1.0,35.08
2025-06,2025-06,0.0123,0.1283,0.0712,0.1953,0.0184,0.0437,0.0267,0.0437,0.1494,0.012,0.1896,0.1093,-0.1355,-0.7,20.06
2025-07,2025-07,0.0099,0.1038,0.0621,0.142,0.0138,0.0752,0.0325,0.0431,0.1098,0.01,0.2917,0.1061,-0.0875,-0.3,27.17
2025-08,2025-08,0.0126,0.0828,0.0618,0.105,0.0119,0.0531,0.0415,0.0841,0.0796,0.0092,0.3786,0.0799,0.2662,1.0,76.75
