step,phase,J,best_so_far
1,random,-0.45224,-0.45224
2,random,0.42279,0.42279
3,random,0.3127,0.42279
4,random,0.25866,0.42279
5,random,0.00965,0.42279
6,random,0.01298,0.42279
7,random,-0.24457,0.42279
8,random,-0.04099,0.42279
9,random,0.17028,0.42279
10,random,0.42144,0.42279
11,random,-0.10084,0.42279
12,random,-0.20789,0.42279
13,random,-0.46026,0.42279
14,random,0.36356,0.42279
15,random,0.16813,0.42279
16,random,0.42253,0.42279
17,random,0.36901,0.42279
18,random,0.10345,0.42279
19,random,-0.303,0.42279
20,random,-0.15327,0.42279
21,gp,0.48205,0.48205
22,gp,0.47938,0.48205
23,gp,0.48396,0.48396
24,gp,0.43524,0.48396
25,gp,0.48769,0.48769
26,gp,0.42968,0.48769
27,gp,0.53074,0.53074
28,gp,0.52451,0.53074
29,gp,0.53843,0.53843
30,gp,0.48597,0.53843
31,gp,0.02103,0.53843
32,gp,0.48216,0.53843
33,gp,0.37564,0.53843
34,gp,0.53675,0.53843
35,gp,0.48883,0.53843
36,gp,0.53311,0.53843
37,gp,0.48265,0.53843
38,gp,0.48058,0.53843
39,gp,0.48298,0.53843
40,gp,0.47051,0.53843
41,gp,0.47638,0.53843
42,gp,0.47607,0.53843
43,gp,0.06898,0.53843
44,gp,0.48453,0.53843
45,gp,0.532,0.53843
46,gp,0.52275,0.53843
47,gp,0.52441,0.53843
48,gp,0.53349,0.53843
49,gp,0.15551,0.53843
50,gp,0.47997,0.53843
51,gp,0.42377,0.53843
52,gp,0.17102,0.53843
53,gp,0.32637,0.53843
54,gp,0.47941,0.53843
55,gp,0.48587,0.53843
56,gp,0.53572,0.53843
57,gp,0.48435,0.53843
58,gp,0.26572,0.53843
59,gp,0.49179,0.53843
60,gp,0.53416,0.53843
61,gp,0.53727,0.53843
62,gp,0.32435,0.53843
63,gp,0.32504,0.53843
64,gp,0.52532,0.53843
65,gp,0.48404,0.53843
66,gp,0.47516,0.53843
67,gp,0.42604,0.53843
68,gp,0.12609,0.53843
69,gp,0.53371,0.53843
70,gp,0.47577,0.53843
71,gp,0.46833,0.53843
72,gp,0.47984,0.53843
73,gp,0.53251,0.53843
74,gp,0.4834,0.53843
75,gp,0.53736,0.53843
76,gp,0.52967,0.53843
77,gp,0.42178,0.53843
78,gp,0.4827,0.53843
79,gp,0.53512,0.53843
80,gp,0.53013,0.53843
81,gp,0.47957,0.53843
82,gp,0.21166,0.53843
83,gp,0.3764,0.53843
84,gp,0.47336,0.53843
85,gp,0.54176,0.54176
86,gp,0.43395,0.54176
87,gp,0.53277,0.54176
88,gp,0.48602,0.54176
89,gp,0.43699,0.54176
90,gp,0.43087,0.54176
91,gp,0.2715,0.54176
92,gp,0.53586,0.54176
93,gp,0.16966,0.54176
94,gp,0.52446,0.54176
95,gp,0.41743,0.54176
96,gp,0.48331,0.54176
97,gp,0.54009,0.54176
98,gp,0.06657,0.54176
99,gp,0.37466,0.54176
100,gp,0.46869,0.54176
101,gp,0.47914,0.54176
102,gp,0.52701,0.54176
103,gp,0.21885,0.54176
104,gp,0.07236,0.54176
105,gp,0.53461,0.54176
106,gp,0.47582,0.54176
107,gp,-0.40539,0.54176
108,gp,0.52922,0.54176
109,gp,0.469,0.54176
110,gp,0.27433,0.54176
111,gp,0.53184,0.54176
112,gp,0.53238,0.54176
113,gp,0.53733,0.54176
114,gp,0.48158,0.54176
115,gp,0.48478,0.54176
116,gp,0.48489,0.54176
117,gp,0.33185,0.54176
118,gp,0.07134,0.54176
119,gp,0.53537,0.54176
120,gp,0.52002,0.54176
