test_start,test_end,model_path,imp_tech_trend,imp_tech_extension,imp_tech_volume,imp_mom_12_1,imp_mom_3m,imp_mom_rs,imp_qual_gpa,imp_qual_fcf,imp_qual_roa,imp_fund_value,imp_fund_growth,imp_earnings_drift,IC_test,Mono_test,Q5Q1_test_pct,TopRet_test_pct
2023-01,2023-01,reports/regression\sp500\sub\lambdarank_models\fold001_2023-01.txt,219.2073525879605,136.35908408035175,58.33956020773621,13.244724998655329,71.05294798167597,35.32418311864603,69.87717933212843,38.684896436636336,41.37167633041099,41.40759493136284,33.35723392413274,38.966784465806995,0.0609,0.7,1.72,-12.15
2023-02,2023-02,reports/regression\sp500\sub\lambdarank_models\fold002_2023-02.txt,71.49209162784973,124.96179592421322,53.07074894551988,15.239631724951323,170.3035381573718,31.225902691483498,43.54333361148019,39.22125097014941,145.1749837485113,44.98213081719405,45.71805764006422,75.98974568614841,0.0777,0.9,1.51,-11.89
2023-03,2023-03,reports/regression\sp500\sub\lambdarank_models\fold003_2023-03.txt,48.56942625355441,163.0559395269629,48.59402838570168,17.321763042767998,144.84969618421746,31.56443411204964,51.62092656253935,48.66157639276935,158.65904224826954,69.43373772149789,58.04736755399426,68.50982620642753,0.0882,0.7,2.17,-1.82
2023-04,2023-04,reports/regression\sp500\sub\lambdarank_models\fold004_2023-04.txt,148.3715289383399,136.98018000143202,42.50431090194252,20.95106751602725,118.19003901302858,76.68380744825117,92.00980631275434,32.25442099365574,86.75661688068794,58.21768625074765,29.024435775554593,75.01430434299436,0.0807,0.4,2.47,10.75
2023-05,2023-05,reports/regression\sp500\sub\lambdarank_models\fold005_2023-05.txt,83.12526839417114,130.42950379173863,34.0217003004218,8.95057789515704,238.14421783347643,40.363129921257496,106.82757945849153,30.188784896134166,80.19715887288862,51.916754125762964,42.65906949744749,67.52520208622445,0.0523,0.1,0.98,95.45
2023-06,2023-06,reports/regression\sp500\sub\lambdarank_models\fold006_2023-06.txt,139.5741576937735,124.43531982317654,32.34494238551997,10.80486466397997,127.38912581678596,71.48331084425445,90.03553117151432,34.64604824806884,109.037686852962,54.27185333244961,43.483833317804965,68.71897997119959,-0.0487,-0.3,-0.1,54.2
2023-07,2023-07,reports/regression\sp500\sub\lambdarank_models\fold007_2023-07.txt,84.22971363758552,173.51381250598934,42.98485754608055,7.621393796987832,231.46589615109588,72.28258329102755,76.41157065180596,29.757201080676168,62.67324351595016,58.199873696547,41.16790553152896,75.98847139404097,0.0614,0.7,1.07,-27.71
2023-08,2023-08,reports/regression\sp500\sub\lambdarank_models\fold008_2023-08.txt,61.505356397421565,185.36115169411642,36.61047873798452,4.4439807971939445,219.8094912453089,53.41518477333011,87.80456085158221,28.827943677013536,70.50674255111517,57.5973974353401,60.10559263631421,65.1151182286867,0.068,0.6,2.0,-56.12
2023-09,2023-09,reports/regression\sp500\sub\lambdarank_models\fold009_2023-09.txt,51.58262984198154,148.48393222845334,38.47031021867588,6.591666539432481,193.95495171665425,20.35454269940965,82.89730488773785,39.89956233136036,164.51174525487295,74.32046002677816,51.19339591500466,146.84617318684832,-0.0041,-0.3,-0.18,-40.78
2023-10,2023-10,reports/regression\sp500\sub\lambdarank_models\fold010_2023-10.txt,32.74370308929065,107.22886069805827,64.53511515762511,10.70021284557879,173.12505156866973,14.582157111309243,58.71275417712968,56.49370708424249,229.29215287332772,58.904545691097155,49.02409357995202,109.33136111586646,0.0032,-0.3,-0.76,109.8
2023-11,2023-11,reports/regression\sp500\sub\lambdarank_models\fold011_2023-11.txt,50.15722303924849,135.32160450502806,30.87295032129623,11.701237915229285,195.1939560310857,18.297610323643312,105.09078281960683,52.53691753344174,145.65805232945422,47.04112031619843,45.90471170601995,98.39926857131286,-0.2287,-1.0,-5.76,47.98
2023-12,2023-12,reports/regression\sp500\sub\lambdarank_models\fold012_2023-12.txt,24.3683032495901,124.85732394459774,50.41139704834495,7.255874169059098,169.31002661542152,27.397835418698378,110.34954734364874,44.736866670571544,90.22228579968214,50.26550404704176,42.854768586781574,75.30479159258539,0.2337,0.9,7.0,58.14
2024-01,2024-01,reports/regression\sp500\sub\lambdarank_models\fold013_2024-01.txt,41.02505363624368,115.54209639328474,47.345699849087396,9.555820948909968,104.82400372554548,31.521659767167876,128.4982205787128,65.06038437132884,148.5555537536202,50.01689762994647,34.73615897318814,146.6138845038845,0.0842,0.7,5.08,111.79
2024-02,2024-02,reports/regression\sp500\sub\lambdarank_models\fold014_2024-02.txt,57.155139427108224,57.054249881464784,26.12764141295338,15.15171083115274,50.96587997209281,120.09405561347376,50.2536481872703,43.19882723155388,171.8354477842804,60.17425659118089,32.38527075649472,104.04574808341567,-0.0045,0.7,1.32,59.72
2024-03,2024-03,reports/regression\sp500\sub\lambdarank_models\fold015_2024-03.txt,103.1191660084296,48.23232894096964,29.482283469536924,26.138860520906746,103.8690174059011,42.719732390964055,87.52084717616526,47.83928191973246,181.30671272354084,59.67173674817968,37.10422861916595,110.38144602995817,-0.1734,-0.9,-2.19,-65.82
2024-04,2024-04,reports/regression\sp500\sub\lambdarank_models\fold016_2024-04.txt,55.333660909644095,42.530027362980036,27.791298054216895,12.027103619475383,93.55898922454799,127.97606041963445,58.377861028769985,48.80567278351373,141.84081568248803,41.4254928103328,34.40274123274139,99.74811231163767,0.1028,0.7,3.94,61.59
2024-05,2024-05,reports/regression\sp500\sub\lambdarank_models\fold017_2024-05.txt,59.58857010130305,43.00363189351083,29.876965891675354,18.252140473559848,88.23722628363612,133.20135000138544,61.392873851174954,41.5304796928649,175.42497309842383,32.196251950208534,48.76948959697779,147.41572121184254,-0.0342,-0.2,-0.77,-6.06
