test_start,test_end,w_tech_trend,w_tech_extension,w_tech_volume,w_mom_12_1,w_mom_3m,w_mom_rs,w_qual_gpa,w_qual_fcf,w_qual_roa,w_fund_value,w_fund_growth,w_earnings_drift,w_analyst_rev,w_short_interest,w_insider_net,w_asset_growth,w_accruals,IC_test,Mono_test,TopRetAnn_test_pct,NDCG10_test,NDCG10_exp_test,MAP10_test,BottomLeak_test,TailRisk_test,IC_std_test,IC_IR_test
2023-01,2023-01,0.0004,0.1121,0.0066,0.0004,0.0018,0.0267,0.0104,0.0285,0.0522,0.0123,0.1278,0.3127,0.0482,0.0427,0.1089,0.0486,0.0597,0.0711,0.6,-11.27,-0.131,0.6031,0.04,0.1,-0.1698,0.0,0.0
2023-02,2023-02,0.005,0.0835,0.0109,0.0005,0.019,0.0213,0.0385,0.0279,0.1459,0.0133,0.1308,0.2343,0.0502,0.0318,0.0826,0.0545,0.0499,0.1486,1.0,-0.97,0.2981,0.4219,0.4463,0.0,-0.0293,0.0,0.0
2023-03,2023-03,0.0094,0.0683,0.0087,0.0024,0.0134,0.0174,0.1047,0.0217,0.1145,0.0202,0.1164,0.1844,0.0397,0.0581,0.0819,0.0932,0.0455,0.083,0.9,-7.35,-0.0617,0.8055,0.0,0.2,-0.1629,0.0,0.0
2023-04,2023-04,0.0072,0.059,0.0085,0.0056,0.0133,0.0125,0.1346,0.0349,0.1238,0.0224,0.135,0.1344,0.0355,0.0806,0.0666,0.0749,0.0511,0.0767,0.5,7.94,0.0926,0.2561,0.19,0.1,-0.1399,0.0,0.0
2023-05,2023-05,0.0103,0.1223,0.0125,0.0048,0.021,0.0089,0.1034,0.0361,0.1089,0.0267,0.1147,0.1363,0.0554,0.074,0.0564,0.0564,0.0518,0.0569,0.3,103.22,0.2093,0.171,0.1762,0.0,0.0368,0.0,0.0
2023-06,2023-06,0.0073,0.1192,0.0108,0.0035,0.0153,0.0142,0.0755,0.0338,0.0919,0.0224,0.1186,0.1892,0.0532,0.0646,0.0721,0.0541,0.0542,-0.0171,0.3,41.89,0.1759,0.2776,0.2167,0.1,-0.0603,0.0,0.0
2023-07,2023-07,0.0052,0.1171,0.0095,0.0026,0.0112,0.018,0.056,0.0322,0.08,0.0194,0.1213,0.2263,0.0517,0.0581,0.0832,0.0524,0.0559,0.1353,1.0,-14.5,-0.0681,0.7651,0.215,0.2,-0.229,0.0,0.0
2023-08,2023-08,0.0056,0.105,0.0119,0.0029,0.0101,0.0172,0.0906,0.0268,0.1098,0.0163,0.1348,0.1732,0.0541,0.0478,0.0731,0.0422,0.0785,0.0475,0.5,-68.37,-0.2988,0.852,0.2373,0.1,-0.1391,0.0,0.0
2023-09,2023-09,0.0073,0.0759,0.0186,0.003,0.0178,0.0189,0.0836,0.0249,0.1263,0.0124,0.1717,0.1422,0.0525,0.0458,0.062,0.0476,0.0894,0.0,0.0,-47.71,-0.2944,1.0996,0.0111,0.4,-0.1967,0.0,0.0
2023-10,2023-10,0.0313,0.0754,0.0134,0.0045,0.0165,0.0143,0.0739,0.0208,0.1171,0.0095,0.1754,0.1399,0.0457,0.0432,0.0484,0.0546,0.116,-0.0018,-0.2,119.14,0.32,0.2941,0.1362,0.1,0.0285,0.0,0.0
