step,phase,J,best_so_far
1,random,-0.51098,-0.51098
2,random,-0.51863,-0.51098
3,random,-0.47007,-0.47007
4,random,-0.3606,-0.3606
5,random,-0.50702,-0.3606
6,random,-0.51254,-0.3606
7,random,-0.52841,-0.3606
8,random,-0.52407,-0.3606
9,random,-0.41858,-0.3606
10,random,-0.40913,-0.3606
11,random,-0.47975,-0.3606
12,random,-0.51824,-0.3606
13,random,-0.52223,-0.3606
14,random,-0.46054,-0.3606
15,random,-0.46141,-0.3606
16,random,-0.47131,-0.3606
17,random,-0.46746,-0.3606
18,random,-0.51865,-0.3606
19,random,-0.52263,-0.3606
20,random,-0.45659,-0.3606
21,gp,-0.5155,-0.3606
22,gp,-0.46599,-0.3606
23,gp,-0.46112,-0.3606
24,gp,-0.40884,-0.3606
25,gp,-0.30812,-0.30812
26,gp,-0.10016,-0.10016
27,gp,-0.46117,-0.10016
28,gp,0.10683,0.10683
29,gp,0.2612,0.2612
30,gp,-0.45413,0.2612
31,gp,-0.19844,0.2612
32,gp,0.30715,0.30715
33,gp,-0.25541,0.30715
34,gp,-0.14855,0.30715
35,gp,-0.04781,0.30715
36,gp,0.05532,0.30715
37,gp,0.20479,0.30715
38,gp,-0.19819,0.30715
39,gp,-0.04564,0.30715
40,gp,-0.34978,0.30715
41,gp,-0.15,0.30715
42,gp,0.31279,0.31279
43,gp,0.46054,0.46054
44,gp,-0.2038,0.46054
45,gp,0.21105,0.46054
46,gp,-0.04765,0.46054
47,gp,-0.14944,0.46054
48,gp,0.31267,0.46054
49,gp,-0.39803,0.46054
50,gp,0.30439,0.46054
51,gp,-0.05096,0.46054
52,gp,-0.39871,0.46054
53,gp,-0.4655,0.46054
54,gp,-0.30263,0.46054
55,gp,0.10959,0.46054
56,gp,0.31064,0.46054
57,gp,-0.34522,0.46054
58,gp,0.2585,0.46054
59,gp,0.31116,0.46054
60,gp,0.30874,0.46054
61,gp,0.31041,0.46054
62,gp,-0.2612,0.46054
63,gp,0.20571,0.46054
64,gp,0.25924,0.46054
65,gp,0.26211,0.46054
66,gp,0.4604,0.46054
67,gp,0.35711,0.46054
68,gp,0.35816,0.46054
69,gp,0.31142,0.46054
70,gp,-0.15008,0.46054
71,gp,0.50587,0.50587
72,gp,0.15212,0.50587
73,gp,-0.24159,0.50587
74,gp,-0.29756,0.50587
75,gp,-0.47267,0.50587
76,gp,0.04797,0.50587
77,gp,-0.45306,0.50587
78,gp,0.3133,0.50587
79,gp,-0.15019,0.50587
80,gp,0.36296,0.50587
