test_start,test_end,w_tech_trend,w_tech_extension,w_tech_volume,w_tech_max5,w_tech_52wh_prox,w_tech_low_vol,w_mom_12_1,w_mom_3m,w_mom_rs,w_mom_str_1m,w_qual_gpa,w_qual_fcf,w_qual_roa,w_fund_value,w_fund_growth,w_earnings_drift,IC_test,Mono_test,TopRet_test_pct
2023-01,2023-01,0.0422,0.0432,0.0002,0.0297,0.0581,0.0361,0.0001,0.136,0.0467,0.0534,0.0288,0.0703,0.0127,0.0294,0.0153,0.3976,0.0438,0.1,-16.43
2023-02,2023-02,0.0369,0.0354,0.0051,0.0243,0.0408,0.0256,0.0047,0.1257,0.0415,0.1408,0.0416,0.0553,0.0194,0.0307,0.0181,0.3542,-0.0032,-0.6,-17.69
2023-03,2023-03,0.0535,0.0294,0.0136,0.0239,0.0289,0.0251,0.0048,0.0948,0.0301,0.1022,0.062,0.0428,0.0743,0.0216,0.0332,0.3599,0.0128,0.2,-11.5
2023-04,2023-04,0.0894,0.0784,0.0118,0.0168,0.0239,0.0176,0.0131,0.0698,0.0313,0.084,0.0942,0.0367,0.0594,0.0205,0.0761,0.2769,0.1208,0.6,20.52
2023-05,2023-05,0.0757,0.0689,0.0136,0.0158,0.0202,0.0145,0.0106,0.0893,0.0528,0.0602,0.0942,0.0728,0.0551,0.0243,0.0648,0.2671,0.0584,0.6,103.61
2023-06,2023-06,0.0695,0.0708,0.0099,0.0269,0.0151,0.0111,0.009,0.0718,0.0462,0.0565,0.1074,0.0582,0.0407,0.0252,0.1162,0.2655,-0.0883,-0.3,56.53
2023-07,2023-07,0.0513,0.1009,0.0185,0.0201,0.011,0.0081,0.0124,0.054,0.0328,0.072,0.1006,0.0694,0.0568,0.0246,0.1211,0.2465,0.0861,0.9,-26.95
2023-08,2023-08,0.0365,0.1292,0.0161,0.0145,0.0104,0.006,0.0106,0.0595,0.0704,0.084,0.0863,0.0574,0.071,0.0224,0.1099,0.2159,0.085,0.9,-62.35
2023-09,2023-09,0.0567,0.1032,0.0209,0.0159,0.0091,0.0049,0.0094,0.0638,0.0573,0.1003,0.0843,0.0556,0.0576,0.0191,0.1405,0.2013,-0.0406,-0.3,-52.6
2023-10,2023-10,0.0528,0.0879,0.0312,0.0139,0.0082,0.0125,0.0072,0.0679,0.0514,0.0704,0.0809,0.053,0.0491,0.0189,0.1863,0.2086,-0.0457,-0.9,111.74
2023-11,2023-11,0.0457,0.1651,0.0401,0.0127,0.0057,0.0173,0.0058,0.0572,0.0365,0.0611,0.0697,0.0487,0.0612,0.0173,0.1787,0.177,-0.3229,-0.9,44.85
2023-12,2023-12,0.0508,0.1943,0.0319,0.0104,0.0051,0.0143,0.0059,0.0416,0.0287,0.044,0.0541,0.0911,0.0851,0.0238,0.1867,0.1321,0.2662,0.9,70.3
2024-01,2024-01,0.0411,0.2013,0.0272,0.0123,0.0113,0.0188,0.0044,0.0298,0.0219,0.064,0.0735,0.1038,0.0735,0.0279,0.1846,0.1045,0.0045,0.3,88.01
2024-02,2024-02,0.0415,0.1779,0.0386,0.0117,0.0303,0.0326,0.0112,0.0306,0.0279,0.1254,0.0603,0.0856,0.0682,0.0196,0.1644,0.0743,-0.0236,-0.3,55.11
2024-03,2024-03,0.0363,0.1553,0.0271,0.0103,0.0241,0.024,0.0148,0.034,0.0531,0.1021,0.0544,0.0852,0.0877,0.0142,0.1477,0.1295,-0.1667,-0.9,-67.69
2024-04,2024-04,0.0374,0.1105,0.0274,0.0077,0.0169,0.0184,0.0203,0.0347,0.0397,0.0881,0.0989,0.0909,0.0839,0.0217,0.1629,0.1407,0.0657,0.5,48.9
2024-05,2024-05,0.0304,0.1286,0.0253,0.0079,0.0234,0.0141,0.0173,0.0259,0.037,0.0671,0.0786,0.1051,0.0594,0.0158,0.24,0.1241,-0.0258,0.4,6.58
2024-06,2024-06,0.0222,0.1409,0.0193,0.0089,0.0233,0.0175,0.0332,0.0268,0.0477,0.0529,0.0724,0.1157,0.0695,0.0112,0.25,0.0886,-0.0829,-0.9,42.17
2024-07,2024-07,0.0267,0.1163,0.0199,0.0162,0.0163,0.0221,0.0369,0.0391,0.0804,0.0488,0.0538,0.1062,0.06,0.0085,0.2833,0.0656,0.0681,0.5,31.21
2024-08,2024-08,0.0274,0.185,0.0322,0.0143,0.0114,0.024,0.0266,0.0371,0.0568,0.046,0.0508,0.0859,0.0689,0.01,0.2466,0.0769,-0.0278,-0.7,41.7
2024-09,2024-09,0.0345,0.2202,0.0314,0.0123,0.0257,0.0194,0.0379,0.0439,0.0617,0.0356,0.0358,0.0618,0.0525,0.0075,0.2519,0.0679,0.022,0.2,-7.55
2024-10,2024-10,0.0258,0.1697,0.0253,0.0114,0.0194,0.0172,0.1023,0.034,0.0586,0.039,0.0286,0.1054,0.0484,0.0117,0.2321,0.0712,-0.0028,0.7,97.59
2024-11,2024-11,0.0323,0.133,0.0184,0.0081,0.0155,0.0238,0.1224,0.0245,0.0484,0.0414,0.0216,0.1591,0.041,0.0155,0.2197,0.0753,0.0678,0.7,-60.83
2024-12,2024-12,0.0289,0.1167,0.0209,0.0196,0.0136,0.0167,0.1112,0.0325,0.061,0.0322,0.0226,0.1361,0.0471,0.014,0.2706,0.0563,0.198,0.9,56.17
2025-01,2025-01,0.0235,0.0978,0.0454,0.0186,0.0102,0.0117,0.1479,0.0419,0.0652,0.0275,0.0474,0.1325,0.038,0.0155,0.224,0.0528,-0.1128,-0.6,-79.57
2025-02,2025-02,0.0166,0.078,0.0534,0.0169,0.0094,0.0106,0.1906,0.0454,0.0695,0.0389,0.0455,0.1102,0.0274,0.0154,0.2005,0.0716,-0.2427,-1.0,-87.22
2025-03,2025-03,0.0118,0.0642,0.0591,0.0157,0.0088,0.0098,0.2206,0.0479,0.0725,0.0469,0.0442,0.0945,0.02,0.0154,0.1841,0.0847,0.1276,0.9,-3.33
2025-04,2025-04,0.0084,0.0545,0.063,0.0149,0.0083,0.0093,0.2415,0.0496,0.0746,0.0525,0.0433,0.0836,0.0148,0.0153,0.1726,0.0939,-0.088,-0.5,33.78
2025-05,2025-05,0.018,0.053,0.0562,0.014,0.0111,0.0103,0.2014,0.0384,0.0712,0.0388,0.0322,0.079,0.0457,0.0122,0.2121,0.1063,-0.3556,-0.9,27.92
2025-06,2025-06,0.0297,0.0571,0.0405,0.0127,0.0078,0.0128,0.1456,0.0334,0.0916,0.0274,0.0359,0.0605,0.0775,0.0338,0.2567,0.0769,-0.0431,0.1,39.57
2025-07,2025-07,0.056,0.0401,0.0486,0.0187,0.0148,0.0091,0.1025,0.0242,0.0785,0.024,0.0677,0.0508,0.0953,0.031,0.2447,0.0938,-0.1708,-1.0,21.46
2025-08,2025-08,0.0512,0.0299,0.0424,0.0136,0.0104,0.008,0.0816,0.0279,0.0574,0.0335,0.1082,0.0668,0.0892,0.0335,0.2308,0.1157,0.2881,1.0,87.84
2025-09,2025-09,0.0423,0.0209,0.0317,0.0102,0.0357,0.0058,0.0622,0.0325,0.0524,0.0297,0.0867,0.056,0.0808,0.0373,0.245,0.1708,0.1146,0.8,37.96
2025-10,2025-10,0.0328,0.0181,0.0255,0.0124,0.0255,0.0043,0.0763,0.0304,0.0651,0.0239,0.1237,0.0903,0.0737,0.0349,0.2294,0.1337,0.033,0.6,29.41
2025-11,2025-11,0.0582,0.0128,0.0381,0.0185,0.0272,0.0032,0.0539,0.0221,0.06,0.0215,0.1291,0.0717,0.0926,0.0318,0.2256,0.1336,-0.013,0.1,23.97
2025-12,2025-12,0.0447,0.0264,0.0426,0.0192,0.0268,0.0038,0.0436,0.0165,0.0679,0.0192,0.0942,0.0798,0.0848,0.0304,0.2822,0.1179,0.1895,0.9,93.17
2026-01,2026-01,0.0556,0.0203,0.0769,0.0141,0.0505,0.0044,0.0549,0.0393,0.0796,0.0136,0.0672,0.0581,0.0732,0.0219,0.2692,0.1013,0.1242,1.0,49.28
2026-02,2026-02,0.0633,0.016,0.1009,0.0106,0.0672,0.0049,0.0628,0.0552,0.0878,0.0097,0.0482,0.043,0.065,0.016,0.26,0.0896,0.0513,0.6,-59.94
2026-03,2026-03,0.0627,0.0184,0.1116,0.0091,0.0691,0.0072,0.0673,0.0552,0.0919,0.0075,0.0356,0.0366,0.0865,0.0159,0.245,0.0804,0.1378,0.9,118.45
