test_start,test_end,w_technical,w_fundamental,w_momentum,w_quality,w_earnings_drift,IC_test,Mono_test,TopRet_test_pct
2023-01,2023-01,0.0621,0.0385,0.1753,0.1542,0.5699,-0.0373,0.4,-40.55
2023-02,2023-02,0.0495,0.0356,0.1756,0.1225,0.6168,0.244,1.0,31.64
2023-03,2023-03,0.0388,0.025,0.1615,0.1543,0.6205,0.0452,0.7,126.53
2023-04,2023-04,0.0367,0.0236,0.146,0.1864,0.6073,0.0138,0.7,71.98
2023-05,2023-05,0.0924,0.0308,0.1339,0.217,0.5259,-0.0198,0.1,110.55
2023-06,2023-06,0.1064,0.0216,0.1308,0.2892,0.4519,0.1294,0.9,134.07
2023-07,2023-07,0.1062,0.0152,0.1563,0.2425,0.4799,-0.0254,0.3,68.22
2023-08,2023-08,0.0841,0.0124,0.1561,0.2902,0.4573,0.0406,0.6,74.93
2023-09,2023-09,0.0735,0.0222,0.1305,0.221,0.5529,0.1044,1.0,-1.11
2023-10,2023-10,0.0831,0.0156,0.156,0.1948,0.5505,0.134,1.0,153.95
2023-11,2023-11,0.0584,0.0111,0.1708,0.3259,0.4337,-0.0557,-0.6,85.46
2023-12,2023-12,0.1372,0.1014,0.215,0.2393,0.3071,0.3187,1.0,131.07
2024-01,2024-01,0.1001,0.078,0.2188,0.2018,0.4013,0.0743,0.7,49.89
2024-02,2024-02,0.0916,0.0807,0.2508,0.2675,0.3095,-0.1039,-0.7,10.34
2024-03,2024-03,0.0841,0.087,0.2678,0.2817,0.2794,-0.0144,-0.2,61.84
2024-04,2024-04,0.0794,0.0901,0.2853,0.3149,0.2304,-0.0403,-0.5,0.21
2024-05,2024-05,0.1409,0.1547,0.305,0.2297,0.1697,-0.0851,0.0,77.1
2024-06,2024-06,0.1074,0.1139,0.3204,0.309,0.1492,0.1343,0.9,91.0
2024-07,2024-07,0.1715,0.1733,0.3198,0.2275,0.1079,-0.155,-0.4,-10.37
2024-08,2024-08,0.2163,0.2148,0.3194,0.1705,0.079,-0.1165,-0.4,16.78
2024-09,2024-09,0.2477,0.2439,0.3191,0.1305,0.0588,0.0874,0.5,-68.47
2024-10,2024-10,0.2185,0.2065,0.4315,0.1006,0.0429,0.0239,0.4,21.38
2024-11,2024-11,0.1749,0.1472,0.3905,0.1991,0.0883,0.0795,0.9,24.37
2024-12,2024-12,0.1799,0.1604,0.3588,0.1946,0.1062,-0.2873,-0.9,-129.18
2025-01,2025-01,0.1674,0.154,0.3234,0.2726,0.0825,-0.0283,-0.6,-147.83
2025-02,2025-02,0.1418,0.1225,0.2768,0.3351,0.1238,0.0037,0.1,118.82
2025-03,2025-03,0.1239,0.1004,0.2442,0.3788,0.1528,0.0124,0.3,14.2
2025-04,2025-04,0.0924,0.0818,0.283,0.4039,0.1389,-0.2302,-0.7,87.18
2025-05,2025-05,0.0843,0.0648,0.2523,0.4082,0.1904,0.1712,0.9,65.92
2025-06,2025-06,0.0658,0.0467,0.2794,0.4157,0.1923,-0.0207,0.2,-23.67
2025-07,2025-07,0.0535,0.0352,0.2766,0.482,0.1527,-0.0167,-0.1,-14.1
2025-08,2025-08,0.0386,0.0253,0.2264,0.5969,0.1129,-0.1203,-0.5,-10.49
2025-09,2025-09,0.0601,0.0303,0.2253,0.5609,0.1235,-0.0374,0.3,44.51
2025-10,2025-10,0.0713,0.0748,0.1838,0.5059,0.1642,0.0869,0.6,-19.12
